Medicine Name,Uses,Side_effects
Acutret 20 Capsule,Treatment of Acne,Dry skin Increased liver enzymes Rash
Adalene Nanogel Gel,Treatment of Acne,Skin peeling Erythema skin redness Itching Dry skin Burning sensation at the site of application
Anorelief Cream,Treatment of Anal fissure,Anal irritation
Atorfit CV 10 Capsule, Heart attack prevention and high cholesterol,Stomach pain Diarrhea Indigestion Constipation Headache Dizziness Muscle pain Weakness Increased glucose level in blood Increased liver enzymes
Allercet Cold Tablet,Treatment of Common cold,Vomiting Dryness in mouth Headache Sleepiness Fatigue Constipation Diarrhea
AD 100mg Capsule,Treatment of Diarrhea,Vomiting Dizziness General discomfort Headache
Actrapid HM 100IU/ml Penfill, Diabetes,Hypoglycemia low blood glucose level Weight gain Injection site reactions pain swelling redness Cold sweat Anxiety Shakiness Hunger pangs Fast heart rate Headache Nervousness
Arpizol 5 Tablet, Schizophrenia Mania,Akathisia inability to stay still Anxiety Blurred vision Constipation Dizziness Fatigue Headache Increased saliva production Indigestion Insomnia difficulty in sleeping Nausea Parkinsonism Restlessness Sleepiness Tremors Vomiting
Alkacip Syrup 100ml for Kidney &amp; Gout Stone,Treatment of GoutTreatment of Kidney stone,Stomach pain Tiredness Diarrhea Nausea Vomiting Frequent urge to urinate
Azulix 2 MF Tablet PR,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Headache Nausea Diarrhea Flatulence
Azilide 500 Tablet,Treatment of Bacterial infections,Nausea Abdominal pain Diarrhea
Atorlip 10 Tablet, High cholesterolPrevention of Heart attack,Dyspepsia Abdominal pain Indigestion Diarrhea Joint pain Nasopharyngitis inflammation of the throat and nasal passages Nausea Pain in extremities Urinary tract infection Abnormal liver function tests
Augpen LB 625 Tablet, Bacterial infections,Nausea Diarrhea Vomiting Flatulence Rash Allergic reaction
Aceclo Sera 100mg/325mg/15mg Tablet, Pain relief,Nausea Vomiting Stomach pain Indigestion Heartburn Loss of appetite Diarrhea
Amaryl MV 2mg Tablet SR,Treatment of Type 2 diabetes mellitus,Nausea Diarrhea Abdominal pain Hypoglycemia low blood glucose level
Acivir 200 DT Tablet, Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
Amlip AT Tablet,Treatment of Hypertension (high blood pressure),Sleepiness Headache Ankle swelling Flushing sense of warmth in the face ears neck and trunk Slow heart rate Palpitations Nausea Edema swelling Constipation Tiredness Cold extremities
Axcer  90mg Tablet, Prevention of heart attack and stroke,Bleeding Breathlessness
Acitrom 3 Tablet,Treatment and prevention of Blood clots,Hemorrhage
Avas 10 Tablet, High cholesterolPrevention of Heart attack,Dyspepsia Abdominal pain Indigestion Diarrhea Joint pain Nasopharyngitis inflammation of the throat and nasal passages Nausea Pain in extremities Urinary tract infection Abnormal liver function tests
Air 180 Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions,Headache Drowsiness Dizziness Nausea
Arcalion Tablet, Fatigue Alzheimer's disease,Skin rash Anxiety Headache
Apigat 2.5 Tablet,Treatment and prevention of Blood clots,Anemia low number of red blood cells Blood in urine Bruise Nausea Nosebleeds Hematoma
Aquasurge  Eye Drop,Treatment of Dry eyes,Eye irritation Burning eyes Eye discomfort Eye itching Eye pain
Aceclo Spas Tablet,Treatment of Abdominal pain,Diarrhea Nausea Vomiting Dryness in mouth Dizziness Vertigo Insomnia difficulty in sleeping Hypotension low blood pressure Fast heart rate Sweating Constipation Indigestion Abdominal pain Increased liver enzymes
Apdrops KT 0.4 Eye Drops BAK Free,Treatment of Bacterial eye infections,Conjunctivitis Reduced visual acuity Dry eye Eye discomfort Ocular hyperemia Eye pain Eye twitching Subconjunctival hemorrhage Transient stinging Transient burning Allergic reaction Corneal edema Iritis inflammation of the middle layer of the eye Eye inflammation Superficial keratitis Eye infection Fever Cough Infection Otitis media infection of ear Sore throat Rash Inflammation of the nose Taste change
Aciloc Injection,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Headache Diarrhea Gastrointestinal disturbance
Arcolane 2% Scalp Solution, Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
Amnurite  10 Tablet SR, Neuropathic pain,Constipation Difficulty in urination Weight gain Dryness in mouth Orthostatic hypotension sudden lowering of blood pressure on standing Drowsiness Blurred vision Increased heart rate
Augpen -DS Suspension,Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections,Abdominal pain Allergy Vomiting Nausea Diarrhea Mucocutaneous candidiasis
Asthalin Respirator Solution,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,Tremors Headache Palpitations Increased heart rate Muscle cramp Respiratory tract inflammation Respiratory tract infection Cough
Atchol-F Tablet,Treatment of High cholesterolPrevention of Heart attack,Nausea Stomach pain Constipation Flatulence Headache Muscle pain Increased liver enzymes Increased glucose level in blood
Asthalin AX Syrup,Treatment of Cough with mucus,Nausea Vomiting Diarrhea Upset stomach Stomach pain Allergic reaction Dizziness Headache Rash Hives Tremors Palpitations Muscle cramp Increased heart rate
Alensol-D Tablet, Osteoporosis,Headache Musculoskeletal bone muscle or joint pain Back pain Indigestion Diarrhea Heartburn
Atorva 80 Tablet, High cholesterolPrevention of Heart attack,Dyspepsia Abdominal pain Indigestion Diarrhea Joint pain Nasopharyngitis inflammation of the throat and nasal passages Nausea Pain in extremities Urinary tract infection Abnormal liver function tests
Artificial Tears BP Eye Drop, Dry eyes,Blurred vision Eye irritation Eye pain Eye redness Foreign body sensation in eyes
Alciflox 500mg Tablet,Treatment of Bacterial infections,Headache Dizziness Gastrointestinal disorder Joint pain Urticaria
Amitop 10 Tablet,Treatment of Depression Neuropathic painTreatment of Migraine,Constipation Dryness in mouth Orthostatic hypotension sudden lowering of blood pressure on standing Weight gain Aggressive behavior Nasal congestion stuffy nose Sleepiness Dizziness Headache Decreased libido Nausea Fatigue Confusion Tremors Speech disorder Palpitations Taste change Paresthesia tingling or pricking sensation Abnormality of voluntary movements Loss of accommodation Atrioventricular block Micturition disorders Erectile dysfunction Abnormal E C G Decreased sodium level in blood
Atonide Gel, Skin conditions with inflammation & itching,Application site reactions burning irritation itching and redness Rash
Ambrodil-D Syrup,Treatment of Dry cough,Upset stomach Sleepiness
Allercet Tablet,Treatment of Allergic conditions,Sleepiness Fatigue Vomiting Dryness in mouth Headache Constipation
Apidra 100IU Cartridge, Diabetes,Hypoglycemia low blood glucose level Allergic reaction Injection site reactions pain swelling redness Lipodystrophy skin thickening or pits at the injection site Itching Rash Upper respiratory tract infection
Aquim PF Eye Drop,Treatment of Dry eyes,Limited data available
Andre Plus Eye Drops,Treatment of Allergic eye disease,Eye irritation Burning eyes Stinging in the eyes Blurred vision
Acamprol Tablet, Alcohol addiction,Diarrhea Abdominal pain Nausea Vomiting Decreased libido Itching Flatulence Impotence
Amitryn 10 Tablet,Treatment of Depression Neuropathic painTreatment of Migraine,Constipation Dryness in mouth Orthostatic hypotension sudden lowering of blood pressure on standing Weight gain Aggressive behavior Nasal congestion stuffy nose Sleepiness Dizziness Headache Decreased libido Nausea Fatigue Confusion Tremors Speech disorder Palpitations Taste change Paresthesia tingling or pricking sensation Abnormality of voluntary movements Loss of accommodation Atrioventricular block Micturition disorders Erectile dysfunction Abnormal E C G Decreased sodium level in blood
Acnesol A Nano Gel,Treatment of Acne,Skin peeling Erythema skin redness Itching Dry skin Burning sensation at the site of application
Acular LS Ophthalmic Solution, Post-operative eye pain and inflammation,Burning sensation Stinging sensation
Acupat Ophthalmic Solution,Treatment of Allergic conjunctivitis,Burning eyes Stinging in the eyes Dry eye
Adilip 135 Tablet DR, High cholesterol,Abdominal pain Nausea Vomiting Diarrhea Flatulence Increased liver enzymes Increased creatine phosphokinase C P K level in blood Inflammation of the nose Back pain Headache
Augpen 625 BID Tablet,Treatment of Bacterial infections,Vomiting Nausea Diarrhea Mucocutaneous candidiasis
Allercet-M Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions,Nausea Diarrhea Dryness in mouth Fatigue Headache Skin rash Sleepiness Vomiting
Arip MT 2 Tablet, Schizophrenia Mania,Akathisia inability to stay still Anxiety Blurred vision Constipation Dizziness Fatigue Headache Increased saliva production Indigestion Insomnia difficulty in sleeping Nausea Parkinsonism Restlessness Sleepiness Tremors Vomiting
Aztolet  20 Tablet, Heart attack prevention and high cholesterol,Stomach pain Diarrhea Indigestion Constipation Headache Dizziness Muscle pain Weakness Increased glucose level in blood Increased liver enzymes
Acceclowoc-P Tablet, Pain relief,Nausea Vomiting Stomach pain epigastric pain Loss of appetite Heartburn Diarrhea
Ascoril Plus Expectorant,Treatment of Cough,Nausea Indigestion Bloating Vomiting Diarrhea Stomach pain Dizziness Headache Sweating Skin rash Hives Tremors Increased heart rate Palpitations
Amaryl MV 1mg Tablet SR,Treatment of Type 2 diabetes mellitus,Nausea Diarrhea Abdominal pain Hypoglycemia low blood glucose level
Alfusin D Tablet ER,Treatment of Benign prostatic hyperplasia,Impotence Decreased libido Ejaculation disorder Headache Nausea Abdominal pain Upper respiratory tract infection Breast enlargement in male Breast tenderness in male
Altraz Tablet, Breast cancer,Hot flashes Nausea Osteoporosis Skin rash Weakness
Acivir Cream, Herpes labialis,Application site reactions burning irritation itching and redness
Atropine 1% Eye Drop,Treatment of MyopiaTreatment of Uveitis,Stinging sensation High blood pressure
Aquaviron Injection 1ml,Treatment of Male hypogonadism,Injection site reactions pain swelling redness Acne Voice change Breast enlargement in male
Acera-D Capsule SR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Diarrhea Stomach pain Dryness in mouth Headache Dizziness Flatulence Weakness Flu like symptoms
Atormac CV10 Capsule, Heart attack prevention and high cholesterol,Stomach pain Diarrhea Indigestion Constipation Headache Dizziness Muscle pain Weakness Increased glucose level in blood Increased liver enzymes
Alphadol 0.25mcg Capsule,Treatment of Vitamin D deficiency,Rash Itching Abdominal pain Increased calcium level in blood Increased calcium in urine Increased phosphate level in blood
Ajaduo 10mg/5mg Tablet,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Cough Nasopharyngitis inflammation of the throat and nasal passages Urinary tract infection Nausea Vomiting Constipation Genital fungal infection
Apdrops DM Eye Drop,Treatment of Bacterial eye infections,Eye irritation Eye discomfort Blurred vision
Arbitel-Trio 25 Tablet ER, Hypertension (high blood pressure),Nausea Taste change Constipation Diarrhea Headache Dizziness Weakness Ankle swelling Flushing sense of warmth in the face ears neck and trunk Edema swelling Increased potassium level in blood Slow heart rate Numbness of extremity Cold extremities Decreased blood pressure
Amicline Plus Tablet, Diarrhea Dysentery,Nausea Loss of appetite Flatulence Dizziness Headache
Amlokind-L Tablet, Hypertension (high blood pressure),Sleepiness Ankle swelling Headache Flushing sense of warmth in the face ears neck and trunk Dizziness Palpitations Increased potassium level in blood Fatigue Nausea Edema swelling Abdominal pain Visual disturbance Breathlessness Change in bowel habits Nasal congestion stuffy nose Upper respiratory tract infection
Amrolstar Nail Lacquer, Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
Amnurite  5 mg/1500 mcg Tablet, Neuropathic pain,Constipation Difficulty in urination Weight gain Dryness in mouth Orthostatic hypotension sudden lowering of blood pressure on standing Drowsiness Blurred vision Increased heart rate
Acuvert Tablet,Treatment of VertigoTreatment of NauseaTreatment of VomitingTreatment of MigraineTreatment of Short term anxiety,Drowsiness Orthostatic hypotension sudden lowering of blood pressure on standing
Ambrodil Drop,Treatment of Cough with mucusTreatment of Acute Sore throatTreatment of Respiratory tract disorders associated with viscid mucus,Excessive salivation Taste change Dry throat Dryness in mouth Numbness in mouth Fatigue Nausea Vomiting Diarrhea Stomach pain Indigestion Skin rash
Azmarda 100mg Tablet,Treatment of Heart failure,Dizziness Increased potassium level in blood Fatigue Hypotension low blood pressure
Alzil-M 5 Tablet, Alzheimer's disease,Nausea Vomiting Loss of appetite Diarrhea Headache Dizziness Bleeding under the skin
Amicon 10 Tablet,Treatment of Depression Neuropathic painTreatment of Migraine,Constipation Dryness in mouth Orthostatic hypotension sudden lowering of blood pressure on standing Weight gain Aggressive behavior Nasal congestion stuffy nose Sleepiness Dizziness Headache Decreased libido Nausea Fatigue Confusion Tremors Speech disorder Palpitations Taste change Paresthesia tingling or pricking sensation Abnormality of voluntary movements Loss of accommodation Atrioventricular block Micturition disorders Erectile dysfunction Abnormal E C G Decreased sodium level in blood
Asomex 5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke,Ankle swelling Dizziness Fatigue Flushing sense of warmth in the face ears neck and trunk Headache Palpitations Abdominal pain Muscle cramp Nausea Sleepiness Visual disturbance Dyspepsia Breathlessness Change in bowel habits
